username,password,role,order_cod,oper_name,host,domain,,,,,
admin1,Aspen100,manager,C11,CREATE_COMMENT,APEM-C-D5,APEM-C-D5,,,,,
admin2,Aspen100,viewer,C11,COMMENTS_GENERAL,APEM-C-D5,APEM-C-D5,,,,,APEM-C-D3
admin3,Aspen100,viewer,C11,COMMENTS_QC,APEM-C-D5,APEM-C-D5,,,,,
admin4,Aspen100,viewer,C11,COMMENTS_PRODUCTION,APEM-C-D5,APEM-C-D5,,,,,
admin5,Aspen100,viewer,C11,COMMENTS_WAREHOUSE,APEM-C-D5,APEM-C-D5,,,,,
admin6,Aspen100,manager,C12,CREATE_COMMENT,APEM-C-D5,APEM-C-D5,,,,,
admin7,Aspen100,viewer,C12,COMMENTS_GENERAL,APEM-C-D5,APEM-C-D5,,,,,
admin8,Aspen100,viewer,C12,COMMENTS_QC,APEM-C-D5,APEM-C-D5,,,,,
admin9,Aspen100,viewer,C12,COMMENTS_PRODUCTION,APEM-C-D5,APEM-C-D5,,,,,
admin10,Aspen100,viewer,C12,COMMENTS_WAREHOUSE,APEM-C-D5,APEM-C-D5,,,,,
admin11,Aspen100,manager,C13,CREATE_COMMENT,APEM-C-D5,APEM-C-D5,,,,,
admin12,Aspen100,viewer,C13,COMMENTS_GENERAL,APEM-C-D5,APEM-C-D5,,,,,
admin13,Aspen100,viewer,C13,COMMENTS_QC,APEM-C-D5,APEM-C-D5,,,,,
admin14,Aspen100,viewer,C13,COMMENTS_PRODUCTION,APEM-C-D5,APEM-C-D5,,,,,
admin15,Aspen100,viewer,C13,COMMENTS_WAREHOUSE,APEM-C-D5,APEM-C-D5,,,,,
admin16,Aspen100,manager,C14,CREATE_COMMENT,APEM-C-D5,APEM-C-D5,,,,,
admin17,Aspen100,viewer,C14,COMMENTS_GENERAL,APEM-C-D5,APEM-C-D5,,,,,
admin18,Aspen100,viewer,C14,COMMENTS_QC,APEM-C-D5,APEM-C-D5,,,,,
admin19,Aspen100,viewer,C14,COMMENTS_PRODUCTION,APEM-C-D5,APEM-C-D5,,,,,
admin20,Aspen100,viewer,C14,COMMENTS_WAREHOUSE,APEM-C-D5,APEM-C-D5,,,,,
